AREA,TRATAMENTOS,SISTEMA,S,N,H
C1a ,20F,café,37,18,3.386
C1b,20F,café,33,10,3.441
C1c ,20F,café,15,6,2.609
F1b ,20F,floresta,26,8,3.194
F1c ,20F,floresta,33,14,3.358
S1a,20F,silvicultura,40,18,3.502
S1b ,20F,silvicultura,47,41,3.09
S1c ,20F,silvicultura,23,14,2.897
C2a ,40F,café,33,15,3.414
C2c ,40F,café,36,16,3.325
F2a ,40F,floresta,21,9,2.792
F2b ,40F,floresta,20,16,2.434
F2c ,40F,floresta,26,9,3.145
S2a ,40F,silvicultura,14,7,2.413
S2b ,40F,silvicultura,43,27,3.355
S2c ,40F,silvicultura,16,17,2.583
C3a ,60F,café,31,13,3.233
C3b ,60F,café,19,9,2.811
C3c ,60F,café,15,5,2.659
F3b ,60F,floresta,23,7,3.085
F4a ,80F,floresta,63,45,3.411
F4b ,80F,floresta,25,17,2.94
F4c ,80F,floresta,4,1,1.386
